
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Left error,Right error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-2,	-2.00,	-3.00,	0.00,	4.27,	0.00,	0.00,	14.46,	0.00,	0,	25.91,	2.03,	33
0.00,	-4,	-2.20,	-3.00,	0.00,	3.45,	0.00,	0.00,	11.21,	0.00,	0,	24.75,	1.53,	34
0.00,	-1,	-2.40,	-3.00,	0.00,	4.23,	0.00,	0.00,	14.19,	0.00,	0,	25.77,	1.93,	34
0.00,	-3,	-2.40,	-3.00,	0.00,	4.26,	0.00,	0.00,	14.03,	0.00,	0,	25.77,	1.91,	34
0.00,	-1,	-2.20,	-2.00,	0.00,	2.98,	0.00,	0.00,	11.80,	0.00,	0,	25.64,	1.66,	33
0.00,	-3,	-2.40,	-3.00,	0.00,	4.60,	0.00,	0.00,	14.30,	0.00,	0,	23.92,	2.01,	33
0.00,	-6,	-2.80,	-3.00,	0.00,	0.07,	0.00,	0.00,	10.37,	0.00,	0,	23.92,	1.50,	32
0.00,	-2,	-3.00,	-3.00,	0.00,	4.31,	0.00,	0.00,	11.23,	0.00,	0,	24.51,	1.62,	32
0.00,	-5,	-3.40,	-3.00,	0.00,	1.29,	0.00,	0.00,	14.21,	0.00,	0,	25.00,	1.99,	33
0.00,	-2,	-3.60,	-3.00,	0.00,	4.01,	0.00,	0.00,	12.44,	0.00,	0,	24.75,	1.69,	34
0.00,	-1,	-3.20,	-2.00,	0.00,	2.48,	0.00,	0.00,	14.20,	0.00,	0,	25.51,	1.93,	34
0.00,	-5,	-3.00,	-3.00,	0.00,	6.24,	0.00,	0.00,	13.03,	0.00,	0,	25.00,	1.83,	33
0.00,	-1,	-2.80,	-3.00,	0.00,	3.15,	0.00,	0.00,	11.56,	0.00,	0,	25.25,	1.62,	33
