
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Left error,Right error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-4,	-4.00,	-2.00,	-1.00,	1.66,	0.00,	0.00,	15.28,	0.00,	0,	23.81,	2.08,	34
0.00,	-3,	-3.80,	-2.00,	-1.00,	1.79,	0.00,	0.00,	13.12,	0.00,	0,	24.15,	1.84,	33
0.00,	0,	-3.00,	-2.00,	0.00,	6.49,	0.00,	0.00,	15.88,	0.00,	0,	25.00,	2.10,	35
0.00,	0,	-2.00,	-1.00,	0.00,	0.45,	0.00,	0.00,	13.32,	0.00,	0,	25.91,	1.81,	34
0.00,	-1,	-1.60,	-1.00,	0.00,	2.02,	0.00,	0.00,	13.63,	0.00,	0,	24.63,	1.91,	33
0.00,	-4,	-1.60,	-1.00,	0.00,	-0.21,	0.00,	0.00,	10.42,	0.00,	0,	24.88,	1.46,	33
0.00,	-3,	-1.60,	-1.00,	0.00,	4.94,	0.00,	0.00,	15.74,	0.00,	0,	26.73,	2.08,	35
0.00,	0,	-1.60,	-1.00,	0.00,	1.40,	0.00,	0.00,	11.73,	0.00,	0,	24.61,	1.65,	33
0.00,	-6,	-2.80,	-2.00,	-1.00,	-0.11,	0.00,	0.00,	10.36,	0.00,	0,	23.47,	1.45,	33
0.00,	-2,	-3.00,	-2.00,	-1.00,	0.68,	0.00,	0.00,	13.57,	0.00,	0,	24.39,	1.90,	33
0.00,	-4,	-3.00,	-2.00,	-1.00,	0.36,	0.00,	0.00,	13.22,	0.00,	0,	23.70,	1.85,	33
0.00,	-3,	-3.00,	-1.00,	-1.00,	2.47,	0.00,	0.00,	11.85,	0.00,	0,	24.75,	1.66,	33
0.00,	-3,	-3.60,	-2.00,	-1.00,	1.15,	0.00,	0.00,	13.10,	0.00,	0,	23.76,	1.84,	33
0.00,	-2,	-2.80,	-2.00,	0.00,	2.37,	0.00,	0.00,	11.49,	0.00,	0,	24.15,	1.56,	34
0.00,	-3,	-3.00,	-2.00,	0.00,	2.20,	0.00,	0.00,	13.35,	0.00,	0,	25.38,	1.82,	34
0.00,	-8,	-3.80,	-2.00,	0.00,	1.65,	0.00,	0.00,	14.45,	0.00,	0,	25.63,	1.91,	35
0.00,	0,	-3.20,	-2.00,	0.00,	0.88,	0.00,	0.00,	11.90,	0.00,	0,	25.64,	1.62,	34
